state,startup,website,foundedDate,description,Full Description,personaEnd,jobEnd,persona,job,personaAbstract,jobAbstract,taskDetail,jobHow,market,feasiblility,execution,marketDetail,interest,nextStep,status,industries,jobCategories,revenueEstimated,location,investors,operatingStatus,totalFunding,rounds,fundingStatus,fundingLastDate,fundingLastAmount
UT,Distro,https://distro.io/,11/1/2021,"Distro is a marketplace for software developers and technologies companies to find, hire, and pay developers all around the world.","Distro is a marketplace for software developers and technologies companies to find, hire, and pay developers all around the world. Technology leadership no longer needs to be reliant on either low volume of available Senior Engineering candidates or hiring the alternative dev shop. With Distro, businesses can find, interview and hire developers directly through the app. No need to create entities and logistics in other countries, simply sign up for Distro for free and start hiring developers to work directly for you. All Distro developer job roles are for full-time, long-term work. If you are looking for short-term gig work, Distro is not for you.",,,,,,,,,,,,,,,,"Professional Services, Software","Recruiting, Software",,"Lehi, Utah, United States",,Active,,,,,
UT,Vistim Labs Inc.,https://vistimlabs.com,9/1/2021,"Enabling early intervention in Alzheimer's Disease with accessible, affordable, and sensitive diagnostics that leverage brain activity.",,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering","Health Diagnostics, Medical, Medical Device, Neuroscience",,"Salt Lake City, Utah, United States",PharmStars,Active,,1,,7/12/2022,
UT,Addie Health,https://www.addiehealth.com/,9/1/2022,Empower Children battling Cancer.,,,,,,,,,,,,,,,,,"Apps, Community and Lifestyle, Health Care, Software","Apps, Children, Health Care, Medical, Software, Wellness",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Envelope Money,https://www.envelopemoney.com,4/14/2021,Envelope Money is a mobile app on a mission to unify banking with budgeting.,,,,,,,,,,,,,,,,,,,,"Lehi, Utah, United States",,Active,,,,,
UT,Grix Venture Capital,https://www.grix.vc/,1/1/2021,Grix Venture Capital is a venture capital firm partnering with entrepreneurs that form enterprise software companies.,"Grix Venture Capital is a venture capital firm partnering with entrepreneurs that form enterprise software companies. It was founded in 2021 and is based in Salt Lake City, Utah.",,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Software","Enterprise Software, Software, Venture Capital",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Balance Money,https://balancemoney.com,7/1/2021,Balance Money is a personalized-banking solution built to empower customers by giving them more control of their finances.,"Balance Money is a personalized-banking solution built to empower customers by giving them more control of their finances. We automate everyday financial tasks, provide budgeting tools and give insights aimed at helping you achieve your financial goals.",,,,,,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Mobile, Software","Apps, Banking, Financial Services, FinTech, Mobile Apps, Software",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,VESO,https://www.myveso.com/,1/1/2021,VESO is a financial technology company focused on facilitating private secondary transactions in private venture-backed companies.,"VESO is a financial technology company focused on facilitating private secondary transactions in venture-backed companies. VESO enables shareholders of private companies to achieve liquidity prior to a traditional liquidity event such as an IPO or acquisition by connecting them to a global network of investors. VESO serves shareholders including founders, current/former employees, and investors.",,,,,,,,,,,,,,,,"Financial Services, Payments","Finance, Financial Services, FinTech, Payments",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Factor,https://www.joinfactor.com/,1/1/2022,Factor empowers high schoolers to pursue what they want to do and be in the world.,Factor empowers high schoolers to pursue what they want to do and be in the world.,,,,,,,,,,,,,,,,"Education, Software","E-Learning, EdTech, Education",,"Lehi, Utah, United States",Peterson Ventures,Active,,1,Seed,11/30/2021,
UT,Gamify,https://www.gogamify.com/,1/1/2021,Gamify is a software that uses leaderboards and gamification to incentivize sales reps to reach their goals.,"Gamify integrates with CRM that is configurable to the team's needs. Sales data has a greater purpose than being used for micromanaging. Gamify data with leaderboards, spiffs, trophies, and a company currency! Every aspect of the sales cycle is incentivized within its mobile app to get the sales team invested in every moment of their day.",,,,,,,,,,,,,,,,"Gaming, Information Technology, Sales and Marketing, Software","CRM, Gamification, Sales, Software",,"Provo, Utah, United States",RevRoad,Active,,1,Seed,1/12/2022,
UT,ClearGrowth,https://www.getcleargrowth.com/,2/2/2021,ClearGrowth has merged technology with finance to help business owners grow their business and achieve the American dream.,"ClearGrowth has merged financial services and technology to make it accessible for small business owners. Using software and business expertise, we help entrepreneurs and business owners achieve the American dream. Setting the business up for success is what we are passionate about. All businesses are unique in their own way, but ClearGrowth can understand your specific needs and what it takes to achieve growth and financial clarity. While in business, we've found business owners who have various issues such as time management, lack of a business overview, misunderstanding of finances, not having enough funds, not having the correct KPIs, and simply not understanding what it takes to grow the business! We offer a painkiller to all of these problems and will understand your needs. Small businesses in America are the backbone of the economy and are often burdened with competing with large corporations. Along with the normal hardships that come with running a business, small business owners also face fierce competition. We stand with small businesses across America and help them compete with bigger corporations and enable them to grow their business! Visit our site and learn more! If you're interested, please contact us and we'll hold a one on one meeting on how we can help elevate your business to the next stage of growth.",,,,,,,,,,,,,,,,"Financial Services, Professional Services","Financial Services, FinTech, Management Consulting",,"American Fork, Utah, United States",,Active,,,,,
UT,Bitszer,https://bitszer.com,1/3/2022,Bitszer is a monetization platform for gamers to earn money.,"Bitszer is a free software plugin that adds an auction house into games.  As gamers trade items with each other using cryptocurrency as funds, both Bitszer and the game developer make a commission off of each transaction.",,,,,,,,,,,,,,,,"Gaming, Mobile, Software","Casual Games, Mobile, Software",,"Provo, Utah, United States",,Active,,,,,
UT,QuickFresh,https://www.quickfresh.com/,1/1/2021,QuickFresh is a food delivery service that helps customers achieve wellness while receiving scrumptious and nourishing meals.,,,,,,,,,,,,,,,,,"Administrative Services, Food and Beverage, Health Care, Professional Services","Delivery, Food and Beverage, Nutrition, Quality Assurance",$1M to $10M,"Springville, Utah, United States",,Active,,,,,
UT,romp,https://www.rompathlete.com,3/3/2022,Social Activity Planning,,,,,,,,,,,,,,,,,"Apps, Software",Apps,,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Fixing.World,https://www.fixing.world,1/1/2021,Fixing.World is a media and technology company that provides a program to fix global challenges and unlock the potential of every person.,"Fixing.World is a media and technology company that provides a program to fix global challenges and unlock the potential of every person. The company is committed to building a transformative company and creating a positive change and impact on the world. Fixing.World was founded in 2021 and is based in Salt Lake City, Utah.",,,,,,,,,,,,,,,,"Education, Internet Services, Media and Entertainment, Software","Developer Platform, Digital Media, Internet, Personal Development",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,AVA,https://www.ava.com/,1/1/2021,AVA manufactures connected home products with a focus on audio streaming and home control.,AVA manufactures connected home products with a focus on audio streaming and home control.,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Real Estate","Consumer Electronics, Electronics, Information Technology, Smart Home",,"Park City, Utah, United States",Serpentine Ventures,Active,,1,,1/1/2021,
UT,PackYak Fulfillment,https://www.packyak.com,3/8/2021,Fulfillment Center & 3PL Services,The premier option for eCommerce Order Fulfillment & 3PL Services. PackYak offers intuitive order fulfillment services and warehousing solutions for eCommerce entrepreneurs around the globe. A dedication to client support and offering tech-forward solutions to eCommerce shipping and order fulfillment really sets this 3PL apart from the competition.,,,,,,,,,,,,,,,,"Commerce and Shopping, Transportation","E-Commerce, Logistics, Shipping, Warehousing",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Ivy House Inc,https://ivyhouse.io,5/24/2022,Social Real Estate App,"Ivy House is an online and native mobile application built for home enthusiasts and home professionals. The purpose of the application is to provide a place to discover, purchase and own your next home.",,,,,,,,,,,,,,,,"Financial Services, Internet Services, Media and Entertainment, Real Estate, Software","Finance, Real Estate, Social Media, Software",,"South Jordan, Utah, United States",,Active,,,,,
UT,Checkmate Equity,https://www.checkmateequity.com/,1/1/2021,"Checkmate Equity provides streamlined cap table management services, equity administration, and premier onboarding for companies.",,,,,,,,,,,,,,,,,"Financial Services, Professional Services","Consulting, Finance, Financial Services",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,JASE Medical,https://jasemedical.com,1/1/2021,Health care telemedicine facilitator,We are an online telemedicine facilitator specializing in emergency preparedness and individual patient empowerment.,,,,,,,,,,,,,,,,"Health Care, Mobile","Health Care, mHealth",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Paramify,https://www.paramify.com,1/1/2022,Paramify simplifies tasks by providing automated compliance deliverables.,"Paramify simplifies tasks by providing automated compliance deliverables. Paramify was founded in 2022 and was headquartered in Utah, United States.",,,,,,,,,,,,,,,,,,,"Provo, Utah, United States",RevRoad,Active,,1,Seed,4/12/2022,
UT,Cryopets,https://cryopets.com,1/1/2022,Whole-body cryopreservation for mammals,,,,,,,,,,,,,,,,,"Biotechnology, Community and Lifestyle, Science and Engineering","Biotechnology, Life Science, Pet",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,iDiFi,http://idifi.app,6/1/2022,The future of KYC Verification,"iDiFi is an innovative, Web3 based solution that provides KYC-as-a-service to financial institutions while allowing users to be custodians over their own data. The iDiFi platform utilizes blockchain technology to provide instantaneous and secure KYC verification. Traditional KYC providers are slow, expensive, and fail to address the concerns of their customers. iDiFi utilized new technologies to revolutionize the KYC process at a fraction of the cost.",,,,,,,,,,,,,,,,"Information Technology, Other, Privacy and Security, Professional Services","Blockchain, Identity Management, Risk Management",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Ride Off,https://ride-off.com,1/1/2021,Ride Off is a motor vehicle manufacturing company.,,,,,,,,,,,,,,,,,Manufacturing,Manufacturing,,"Provo, Utah, United States",,Active,,,,,
UT,LodgeScout,https://LodgeScout.com,9/13/2022,Traveling is a great way to get closer to the ones you love and have new experiences together.,,,,,,,,,,,,,,,,,Travel and Tourism,Adventure Travel,,"South Jordan, Utah, United States",,Active,,,,,
UT,Civictus,https://civictus.com,1/1/2022,Civictus enables organizations to take control of their operations with the WorkForce enterprise management system.,"Civictus enables organizations to take control of their operations through the use of their identity and access management system. Their WorkForce software enables constant personnel monitoring and physical area compartmentalization to maintain operational integrity. Civictus is headquartered in Salt Lake, Utah and was founded in 2022.",,,,,,,,,,,,,,,,"Information Technology, Privacy and Security, Software, Transportation","Identity Management, Logistics, SaaS, Software",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Pitted Logistics,https://pittedlogistics.com,1/1/2021,"Born for e-commerce. We provide order fulfillment, distribution, warehousing, packaging, and kitting/assembly services.","A DIFFERENT FULFILLMENT EXPERIENCE Having grown and worked with countless e-commerce-focused companies, we saw a need for a different fulfillment experience. Warehousing and logistics shouldnâ€™t be a commodity, but a service that can surprise & delight customers. With the rise of e-commerce over the past few years, many cracks were exposed in how traditional 3PLs were managing and fulfilling orders. Like Grandpa trying to use tik-tok to stay current, these industry titans were unable to keep pace with the growing demands of businesses shifting their focus to online marketplaces. As a result, many of these companies were hindered in their ability to scale. After doing a deep dive into what todayâ€™s online businesses were faced with, our team went to work on building a different fulfillment experience â€“ One that would put an emphasis on surprising and delighting the brands we serve. Pitted Logistics was born out of love and a lot of listening. Pitted Logistics is committed to serving our clients to the highest level of service possible. We are technology-driven, service-oriented, people-focused, and stay on the bleeding edge of industry trends. Unlike traditional 3PLs, we are actively engaged in all aspects of the e-commerce world through our sister companies and proprietary technology, Pitted Labs, Pitted Ventures, and Atlas. This enables us to be a complete partner to your success beyond just fulfillment.",,,,,,,,,,,,,,,,Transportation,"Logistics, Warehousing",,"Lehi, Utah, United States",,Active,,,,,
UT,Bundo,https://www.bundo.me,1/1/2022,Bundo is a mobile app that helps friends and family set deadlines and tracks when lending money.,"BundÂ° helps friends and family set deadlines and tracks when lending money, building together a better future.",,,,,,,,,,,,,,,,,,,"Logan, Utah, United States",,Active,,,,,
UT,BizBench,https://bizbench.com/,1/1/2021,BizBench uses a database of reports to compare a company to other businesses in almost the same financial parameters.,,,,,,,,,,,,,,,,,"Financial Services, Professional Services, Software","Accounting, Consulting, Financial Services, Software",$1M to $10M,"Draper, Utah, United States",,Active,,,,,
UT,"InsideFluence, Inc.",https://www.insidefluence.com/,1/1/2021,Influencer marketing SaaS to bring businesses and influencers together to create successful influencer campaigns.,We are a software platform that connects brands and influencers to help businesses find influencers who will reach their target audience and have more successful influencer campaigns as well as help influencers grow their personal brands and connect with more businesses who they love and want to work with.,,,,,,,,,,,,,,,,"Advertising, Internet Services, Sales and Marketing, Software","Advertising, Brand Marketing, Content Marketing, Marketing, SaaS, Social Media Management, Social Media Marketing, Software",,"Millville, Utah, United States",Launchpeer,Active,,1,,8/1/2021,
UT,Motomtech,https://motomtech.com/,1/1/2021,"Motomtech offers technological tools, products, and services including custom software, enterprise software, mobile, and web apps.",,,,,,,,,,,,,,,,,"Administrative Services, Information Technology, Other, Professional Services, Software","Consulting, Information Technology, Project Management, Software",Less than $1M,"Salt Lake City, Utah, United States",,Active,,,,,
UT,SDI,https://sdisportswear.com,1/1/2021,SDI provides designing and decorating services for sportswear.,"SDI expanded to introduce products to golf resorts and country clubs. Corporate customers use SDI sportswear, screen printing, and embroidery applications to promote company events and recognize valued employees.",,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Content and Publishing, Design, Media and Entertainment, Sports","Consumer Goods, Graphic Design, Printing, Sporting Goods",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Vortechs,https://vortechs.eco,8/2/2021,"Vortechs is an advanced recycling company that recycles most plastic and other hydrocarbon waste, in any mix.","Vortechs is an advanced recycling company that recycles most plastic and other hydrocarbon waste, in any mix. The company develops a distributed, modular advanced recycling system that converts mixed plastic and other hydrocarbon waste into a base product called Eco. This Eco can be converted into recycled products or various forms of sustainable energy as the customer requires, without transporting waste long distances or to a landfill.",,,,,,,,,,,,,,,,Sustainability,"CleanTech, Recycling, Sustainability",,"Layton, Utah, United States",,Active,,,,,
UT,ProHEMP,https://www.buyprohemp.com,1/1/2021,ProHEMP manufactures and sells natural hemp products.,"ProHEMP provides products including hemp extract tinctures, edibles, topicals, adaptogenics, essential oils, and supplements. Their products are organic, cruelty-free, and tested. They respond to customer inquiries by phone, contact form, and email.",,,,,,,,,,,,,,,,"Commerce and Shopping, Manufacturing, Sustainability","E-Commerce, Manufacturing, Organic, Wholesale",,"Orem, Utah, United States",,Active,,,,,
UT,UV360,https://www.uv360.io/,1/1/2022,UV360 aims to create the future of UV disinfection technology.,"UV360 aims to create the future of UV disinfection technology. UV360 is the new parent company of Vioguard and Steribin. It was founded in 2022 and is based in Saint George, Utah, United States.",,,,,,,,,,,,,,,,"Health Care, Information Technology","Health Care, Information Technology, Personal Health",,"Saint George, Utah, United States",,Active,,,,,
UT,RELLO,https://relloagency.com,1/1/2021,RELLO is a marketing agency that helps companies scale by building intelligent marketing infrastructure.,,,,,,,,,,,,,,,,,"Advertising, Professional Services, Sales and Marketing","Advertising, Consulting, Marketing",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,NFTy Arcade,https://www.nftyarcade.io/,1/1/2021,"NFTy Arcade combines research, industry expertise and customer service to strategically buy, sell and deploy Utility NFTs.","NFTy Arcade combines research, industry expertise, and customer service to strategically buy, sell and deploy Utility NFTs.",,,,,,,,,,,,,,,,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency",,"American Fork, Utah, United States",,Active,,,,,
UT,Decker Retirement Planning,https://www.deckerretirementplanning.com,1/1/2021,Decker Retirement Planning offers retirement planning services for retirees and people nearing retirement.,"Decker Retirement Planning is a financial planner. They provide financial capability study, a safer distribution plan, a safer tax plan, safer investment options, and social security optimization services. They provide riskalyze technology service. That helps ensure clients' portfolios align with their investment goals and expectations. Together they can take the guesswork out of clients' financial future.",,,,,,,,,,,,,,,,Financial Services,"Financial Services, Insurance, Wealth Management",$1M to $10M,"Salt Lake City, Utah, United States",,Active,,,,,
UT,i4 Ops,http://i4ops.com,6/6/2021,"Secure AI Devops. Our ""easy button"" prevents insider data breach, even with multi-party projects.",,,,,,,,,,,,,,,,,"Apps, Information Technology, Software","Apps, Information Technology, Software",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Mekuno Project,https://www.mekunoproject.org/,1/1/2021,Mekuno Project connects and funds projects that eliminate FGM and child marriage.,"Mekuno Project connects and funds projects that eliminate FGM and child marriage. Mekuno Project was founded in 2021 and was headquartered in Spokane, USA.",,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Other","Charity, Financial Services, Funding Platform",,"Washington, Utah, United States",,Active,,,,,
UT,Domus Diagnostics,https://www.domusdx.com/,1/1/2021,Domus Diagnostics provides a care diagnostics platform that offers respiratory disease home testing services.,"Domus Diagnostics provides a care diagnostics platform that offers respiratory disease home testing services. The company was founded in 2021 and is headquartered in Park City, Utah.",,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Health Diagnostics",,"Park City, Utah, United States",,Active,,,,,
UT,SHY,,3/5/2021,SHY is a speed-networking application that utilizes touch-points to connect users within the same industries or who share the same contacts.,,,,,,,,,,,,,,,,,"Apps, Community and Lifestyle, Internet Services, Media and Entertainment, Mobile, Professional Services, Software","Apps, Mobile Apps, Private Social Networking, Professional Networking, Social Media, Social Network",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,NÅmadik Living,https://www.nomadikliving.com,10/7/2021,"We are making renting an apartment as easy as booking a hotel. No more applications, fees, deposits, or moving furniture!","NÅmadik Living is a centralized marketplace of fully furnished apartments around the world, empowering travelers and digital workers to live anywhere for any duration of time within the NÅmadik Apartment Network. Anyone will be able to view available listings, apply, and book apartments within minutes. We are making renting as easy as booking a hotel. No more applications, fees, deposits, contracts, and moving furniture. Tenants in the network enjoy the benefits of fully furnished apartments, and an unparalleled ability to move seamlessly across the world without the hassle of house hunting.",,,,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Real Estate, Travel and Tourism","Hospitality, Leasing, Marketplace, Property Management, Real Estate",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Machineryhut.com,https://www.machineryhut.com,1/1/2022,The ultimate resource for buying and selling heavy equipment nationwide!,MachineryHut.com is the ultimate resource for Buyers and Sellers of commercial Heavy Equipment and Vehicles. MachineryHut aims to provide a world class customer experience without over complicating the simple things.,,,,,,,,,,,,,,,,"Information Technology, Sales and Marketing, Software","Sales, Sales Automation",,"Roy, Utah, United States",,Active,,,,,
UT,Kolla,https://www.getkolla.com/,1/1/2021,"Kolla is a company that develops information software, API tools, and bills/pays for partner apps and third-party integrations.",,,,,,,,,,,,,,,,,"Information Technology, Software","Developer APIs, Developer Tools, Information Technology",,"Draper, Utah, United States",,Active,,,,,
UT,WaiterX,https://joinwaiterx.com,1/1/2021,"WaiterX provides management tool for restaurants, golf courses, and bowling alleys.","WaiterX provides cafe and service staff, creates and joins parties, and checkout services. Their customers contact them through email, mobile, and online applications.",,,,,,,,,,,,,,,,"Food and Beverage, Transportation","Food and Beverage, Food Delivery, Restaurants",,"Lehi, Utah, United States",,Active,,,,,
UT,Megastar HR,https://megastarhr.com,1/1/2021,Megastar HR provides strategic and administrative HR solutions tailored to the business.,"Megastar HR provides administrative and strategic HR services. They offer payroll, benefits, safety compliance, talent acquisition, performance development, consulting, and an ongoing improvement solution.",,,,,,,,,,,,,,,,"Administrative Services, Professional Services","Business Development, Consulting, Human Resources",,"Sandy, Utah, United States",,Active,,,,,
UT,Skavengerz,https://www.skavengerz.com,1/1/2021,Skavengerz is a marketing platform that provides mobile gaming apps.,"Skavengerz  provides consumers with the opportunity to compete for unforgettable, exclusive experiences and prizes that money canâ€™t buy.",,,,,,,,,,,,,,,,"Apps, Mobile, Sales and Marketing, Software","Apps, Marketing, Mobile Apps",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,MotionOps,https://www.motionops.com/,1/1/2021,"Motion Ops develops full-cycle lead management, HR management, and automated payroll software as well as digital business cards.","MotionOps is a software development company that provides digital solutions for service companies. MotionOps develops a SaaS platform with a wide range of employee feedback, financial visibility, lead management, onboarding, and invoicing features. MotionOps software is available at a multitiered price.",,,,,,,,,,,,,,,,"Administrative Services, Information Technology, Professional Services, Sales and Marketing, Software","Business Development, Human Resources, SaaS, Sales Automation, Software",,"Sandy, Utah, United States",,Active,,,,,
UT,TrueInsight,https://www.trueinsight.io,1/1/2021,"TrueInsight is a software solutions company that specializes in artificial intelligence, data analysis, and technical support services.",,,,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Other, Science and Engineering, Software","Artificial Intelligence, Software, Technical Support",,"Sandy, Utah, United States",,Active,,,,,
UT,Cottonwood Wealth Strategies,https://www.cottonwoodws.com/,1/1/2021,"Cottonwood Wealth Strategies is a financial firm that provides wealth, risk management, cash flow, tax investing, and advisory services.",,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Media and Entertainment, Professional Services","Advice, Financial Services, Impact Investing, Risk Management, Wealth Management",$1M to $10M,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Coolwater,https://www.coolwatercap.com,1/1/2021,Coolwater Capital is a startup acceleration firm for accredited angel investors that helps talented individuals from a variety backgrounds.,,,,,,,,,,,,,,,,,,,,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Ontray,https://ontray.app,1/10/2022,An online home marketplace for talented cooks to sell homemade food in the community.,,,,,,,,,,,,,,,,,Commerce and Shopping,E-Commerce,,"Provo, Utah, United States",,Active,,,,,
UT,Spiin,https://spiin.com,1/1/2021,Spiin offers car care services.,"Spiin provides convenient car payment services that include insurance, maintenance, repairs, and cleaning. They sells spiincare month-to-month. They offers, perhaps the solution is helping to use car, truck or van to make money through their spiin job boards. They also handle the cleaning, maintenance, and repair of vehicles. Clients can contact them through phone calls and emails.",,,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Other, Professional Services, Software","Apps, Customer Service, E-Commerce",,"Logan, Utah, United States",,Active,,,,,
UT,VoiceSignals,https://www.voicesignals.com,1/1/2021,VoiceSignals is a platform that gathers deep people's intelligence from the conversations already happening.,VoiceSignals is a platform that gathers deep people's intelligence from the conversations already happening to determine and influence the impact on business outcomes. VoiceSignals was founded in 2021.,,,,,,,,,,,,,,,,"Data and Analytics, Hardware, Software","Analytics, Communications Infrastructure, Speech Recognition",,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Apex Storage,https://www.apexstoragedesign.com,10/1/2022,We deliver never before seen solutions to the industries storage problems!,NVME storage designs for Data Center and high performance computing applications,,,,,,,,,,,,,,,,,,,"Cedar City, Utah, United States",,Active,,,,,
UT,HyPAR,http://www.HyPAR.farm,1/28/2021,Indoor Cultivation Technology,"We bring the sun indoors and save cultivators up to 80% in electricity costs by using sun tubes, supplemented with LEDs, all controlled with software to ensure the exact amount of light prescribed is received, resulting in full spectrum plants",,,,,,,,,,,,,,,,,,,"Park City, Utah, United States",,Active,,,,,
UT,The Summit Group,https://www.thesummitgroup.biz,1/1/2021,The Summit Group offers experienced financial advice and solutions to help businesses grow and prosper.,The Summit Group offers experienced financial advice and solutions to help businesses grow and prosper.,,,,,,,,,,,,,,,,Professional Services,Consulting,,"Salt Lake City, Utah, United States",,Active,,,,,
UT,PixelDino,https://pixeldino.com/,1/4/2021,PixelDino is a video animation and production powerhouse.,PixelDino is a creative video production and animation company. We take pride in creating and curating the most relevant content for you to reach the consumers you want and for them to want you in return. Our videos come from a team of talented professionals who take their projects to the next level with fresh ideas and unmatched zeal! We are the best fit for a brand that has a unique vision and aims high as we offer our skillsets and our commitment to make your brand look exclusive and enticing!,,,,,,,,,,,,,,,,,,,"Washington, Utah, United States",,Active,,,,,
UT,Ultimate Home Lending,https://www.ultimatehomelending.com,1/1/2021,Ultimate Home Lending is a finance company that provides loan programs and guidance to individuals and various business sectors.,,,,,,,,,,,,,,,,,"Financial Services, Media and Entertainment","Advice, Finance, Guides, Lending",,"Eagle Mountain, Utah, United States",,Active,,,,,
UT,Summit Advisors,https://www.thesummitadvisors.com/,1/1/2021,"Summit Advisors is a financial firm that offers medicare coverage, insurance, retirement planning, and consulting.",,,,,,,,,,,,,,,,,"Community and Lifestyle, Financial Services, Other","Financial Services, Insurance, Retirement",,"Lehi, Utah, United States",,Active,,,,,
UT,Reliant,https://www.convergent.one,4/23/2021,"Reliant is a digital multi-chain app that connects individuals to regional assets, allowing people from diverse communities to interact.","Reliant is a digital multi-chain app that connects individuals to regional assets, allowing people from diverse communities to engage more easily. Reliant is headquartered in Salt Lake City, Utah and was founded in 2021.",,,,,,,,,,,,,,,,,,,"Salt Lake City, Utah, United States",,Active,,,,,
UT,Useless Crypto,https://www.uselesscrypto.com/,1/1/2021,"Useless Crypto is an application software that provides hyper-deflationary, marketing tools, tokenomics, and information services.",,,,,,,,,,,,,,,,,"Financial Services, Payments, Software","Cryptocurrency, Financial Services, Software",,"Orem, Utah, United States",,Active,,,,,
